SampleName	SampleID	AssemblyGroup	FastqFile
AXIAL_103_Axial2022_IntlDistrictPlumePeak_insitu_CTD005	AXIAL_103_Axial2022_IntlDistrictPlumePeak_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_103_Axial2022_IntlDistrictPlumePeak_insitu_CTD005_S37_L001
AXIAL_103_Axial2022_IntlDistrictPlumePeak_insitu_CTD005	AXIAL_103_Axial2022_IntlDistrictPlumePeak_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_103_Axial2022_IntlDistrictPlumePeak_insitu_CTD005_S37_L002
AXIAL_104_Axial2022_IntlDistrictPlumePeak_insitu_CTD005	AXIAL_104_Axial2022_IntlDistrictPlumePeak_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_104_Axial2022_IntlDistrictPlumePeak_insitu_CTD005_S27_L001
AXIAL_104_Axial2022_IntlDistrictPlumePeak_insitu_CTD005	AXIAL_104_Axial2022_IntlDistrictPlumePeak_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_104_Axial2022_IntlDistrictPlumePeak_insitu_CTD005_S27_L002
AXIAL_105_Axial2022_Anemone_insitu_1434HSF15	AXIAL_105_Axial2022_Anemone_insitu_1434HSF15	AXIAL_Anemone_vent	AXIAL_105_Axial2022_Anemone_insitu_1434HSF15_S38_L001
AXIAL_105_Axial2022_Anemone_insitu_1434HSF15	AXIAL_105_Axial2022_Anemone_insitu_1434HSF15	AXIAL_Anemone_vent	AXIAL_105_Axial2022_Anemone_insitu_1434HSF15_S38_L002
AXIAL_106_Axial2022_IntlDistrictPlumeBottom_insitu_CTD005	AXIAL_106_Axial2022_IntlDistrictPlumeBottom_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_106_Axial2022_IntlDistrictPlumeBottom_insitu_CTD005_S39_L001
AXIAL_106_Axial2022_IntlDistrictPlumeBottom_insitu_CTD005	AXIAL_106_Axial2022_IntlDistrictPlumeBottom_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_106_Axial2022_IntlDistrictPlumeBottom_insitu_CTD005_S39_L002
AXIAL_107_Axial2022_IntlDistrictPlumeTop_insitu_CTD005	AXIAL_107_Axial2022_IntlDistrictPlumeTop_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_107_Axial2022_IntlDistrictPlumeTop_insitu_CTD005_S40_L001
AXIAL_107_Axial2022_IntlDistrictPlumeTop_insitu_CTD005	AXIAL_107_Axial2022_IntlDistrictPlumeTop_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_107_Axial2022_IntlDistrictPlumeTop_insitu_CTD005_S40_L002
AXIAL_108_Axial2022_IntlDistrictPlus30m_insitu_CTD005	AXIAL_108_Axial2022_IntlDistrictPlus30m_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_108_Axial2022_IntlDistrictPlus30m_insitu_CTD005_S28_L001
AXIAL_108_Axial2022_IntlDistrictPlus30m_insitu_CTD005	AXIAL_108_Axial2022_IntlDistrictPlus30m_insitu_CTD005	AXIAL_IntlDistrict_nonvent	AXIAL_108_Axial2022_IntlDistrictPlus30m_insitu_CTD005_S28_L002
AXIAL_109_Axial2022_Background_insitu_CTD006	AXIAL_109_Axial2022_Background_insitu_CTD006	AXIAL_Background_nonvent	AXIAL_109_Axial2022_Background_insitu_CTD006_S29_L001
AXIAL_109_Axial2022_Background_insitu_CTD006	AXIAL_109_Axial2022_Background_insitu_CTD006	AXIAL_Background_nonvent	AXIAL_109_Axial2022_Background_insitu_CTD006_S29_L002
AXIAL_110_Axial2022_Background_insitu_CTD006	AXIAL_110_Axial2022_Background_insitu_CTD006	AXIAL_Background_nonvent	AXIAL_110_Axial2022_Background_insitu_CTD006_S30_L001
AXIAL_110_Axial2022_Background_insitu_CTD006	AXIAL_110_Axial2022_Background_insitu_CTD006	AXIAL_Background_nonvent	AXIAL_110_Axial2022_Background_insitu_CTD006_S30_L002
AXIAL_111_Axial2022_ASHESplume_insitu_CTD003	AXIAL_111_Axial2022_ASHESplume_insitu_CTD003	AXIAL_ASHES_nonvent	AXIAL_111_Axial2022_ASHESplume_insitu_CTD003_S41_L001
AXIAL_111_Axial2022_ASHESplume_insitu_CTD003	AXIAL_111_Axial2022_ASHESplume_insitu_CTD003	AXIAL_ASHES_nonvent	AXIAL_111_Axial2022_ASHESplume_insitu_CTD003_S41_L002
AXIAL_112_Axial2022_ASHESplume_insitu_CTD003	AXIAL_112_Axial2022_ASHESplume_insitu_CTD003	AXIAL_ASHES_nonvent	AXIAL_112_Axial2022_ASHESplume_insitu_CTD003_S42_L001
AXIAL_112_Axial2022_ASHESplume_insitu_CTD003	AXIAL_112_Axial2022_ASHESplume_insitu_CTD003	AXIAL_ASHES_nonvent	AXIAL_112_Axial2022_ASHESplume_insitu_CTD003_S42_L002
AXIAL_113_Axial2022_Anemone_insitu_1434HSF6	AXIAL_113_Axial2022_Anemone_insitu_1434HSF6	AXIAL_Anemone_vent	AXIAL_113_Axial2022_Anemone_insitu_1434HSF6_S43_L001
AXIAL_113_Axial2022_Anemone_insitu_1434HSF6	AXIAL_113_Axial2022_Anemone_insitu_1434HSF6	AXIAL_Anemone_vent	AXIAL_113_Axial2022_Anemone_insitu_1434HSF6_S43_L002
AXIAL_114_Axial2022_Anemone_insitu_1434HSF7	AXIAL_114_Axial2022_Anemone_insitu_1434HSF7	AXIAL_Anemone_vent	AXIAL_114_Axial2022_Anemone_insitu_1434HSF7_S44_L001
