SITE_NUM_FIELDYR_VENT_EXP_SAMPLEID,SITE,NUM,FIELDYR,VENT,EXP,SAMPLEID,SAMPLE_NAME,ORIGIN
AXIAL_103_Axial2022_IntlDistrictPlumePeak_insitu_CTD005,AXIAL,103,Axial2022,IntlDistrictPlumePeak,insitu,CTD005,Intl District plume,Niskin 22
AXIAL_104_Axial2022_IntlDistrictPlumePeak_insitu_CTD005,AXIAL,104,Axial2022,IntlDistrictPlumePeak,insitu,CTD005,Intl District plume,Niskin 22
AXIAL_105_Axial2022_Anemone_insitu_1434HSF15,AXIAL,105,Axial2022,Anemone,insitu,1434HSF15,Anemone,filter
AXIAL_106_Axial2022_IntlDistrictPlumeBottom_insitu_CTD005,AXIAL,106,Axial2022,IntlDistrictPlumeBottom,insitu,CTD005,Intl District plume bottom,Niskin 1
AXIAL_107_Axial2022_IntlDistrictPlumeTop_insitu_CTD005,AXIAL,107,Axial2022,IntlDistrictPlumeTop,insitu,CTD005,Intl District plume top,Niskin 23
AXIAL_108_Axial2022_IntlDistrictPlus30m_insitu_CTD005,AXIAL,108,Axial2022,IntlDistrictPlus30m,insitu,CTD005,Intl District plume +30m above top,Niskin 24
AXIAL_109_Axial2022_Background_insitu_CTD006,AXIAL,109,Axial2022,Background,insitu,CTD006,Background seawater,
AXIAL_110_Axial2022_Background_insitu_CTD006,AXIAL,110,Axial2022,Background,insitu,CTD006,Background seawater,
AXIAL_111_Axial2022_ASHESplume_insitu_CTD003,AXIAL,111,Axial2022,ASHESplume,insitu,CTD003,ASHES plume,filter
AXIAL_112_Axial2022_ASHESplume_insitu_CTD003,AXIAL,112,Axial2022,ASHESplume,insitu,CTD003,ASHES plume,filter
AXIAL_113_Axial2022_Anemone_insitu_1434HSF6,AXIAL,113,Axial2022,Anemone,insitu,1434HSF6,Anemone,in situ RNA filter 13
AXIAL_114_Axial2022_Anemone_insitu_1434HSF7,AXIAL,114,Axial2022,Anemone,insitu,1434HSF7,Anemone,in situ RNA filter 14
