"","SAMPLE","OCCURENCE","SUM"
"1","MCR_54_VonDamm2020_MustardStand_Tf_FLP_REP1",452856,13954631.772
"2","MCR_54_VonDamm2020_MustardStand_Tf_FLP_REP2",444833,14079548.821
"3","MCR_55_VonDamm2020_ShrimpHole_Tf_FLP_REP1",262866,20993508.862
"4","MCR_55_VonDamm2020_ShrimpHole_Tf_FLP_REP2",265610,22130267.639
"5","MCR_56_Piccard2020_Plume_Tf_FLP_REP1",497212,30236094.835
"6","MCR_56_Piccard2020_Plume_Tf_FLP_REP2",496863,31411683.743
"7","MCR_57_Piccard2020_Shrimpocalypse_Tf_FLP_REP1",435584,5096433.964
"8","MCR_57_Piccard2020_Shrimpocalypse_Tf_FLP_REP2",417738,5065484.964
"9","MCR_58_VonDamm2020_Plume_Tf_FLP_REP1",506831,33088377.679
"10","MCR_58_VonDamm2020_Plume_Tf_FLP_REP2",506165,34671229.558
"11","MCR_59_VonDamm2020_X18_Tf_FLP_REP1",1640527,24262904.836
"12","MCR_59_VonDamm2020_X18_Tf_FLP_REP2",1638103,24677946.7
"13","MCR_60_VonDamm2020_Background_Tf_FLP_REP1",1666289,38314314.669
"14","MCR_60_VonDamm2020_Background_Tf_FLP_REP2",1662794,39926549.681
"15","MCR_61_VonDamm2020_Ravelin2_Tf_FLP_REP1",1905166,25022106.586
"16","MCR_61_VonDamm2020_Ravelin2_Tf_FLP_REP2",1906349,25401128.698
"17","MCR_63_VonDamm2020_Background_insitu_CTD002_REP1",2197719,62133883.818
"18","MCR_63_VonDamm2020_Background_insitu_CTD002_REP2",2204236,65847845.587
"19","MCR_65_VonDamm2020_Plume_insitu_CTD003_REP1",964854,28162753.812
"20","MCR_65_VonDamm2020_Plume_insitu_CTD003_REP2",963740,29544788.866
"21","MCR_66_VonDamm2020_ArrowLoop_insitu_1243_REP1",126001,25555093.661
"22","MCR_66_VonDamm2020_ArrowLoop_insitu_1243_REP2",122310,26453570.712
"23","MCR_67_VonDamm2020_WhiteCastle_insitu_1235_REP1",244052,25540121.402
"24","MCR_67_VonDamm2020_WhiteCastle_insitu_1235_REP2",232147,26447594.348
"25","MCR_68_Piccard2020_Lotsoshrimp_insitu_1242_REP1",1361399,27414715.114
"26","MCR_68_Piccard2020_Lotsoshrimp_insitu_1242_REP2",1360365,27901706.065
"27","MCR_69_VonDamm2020_MustardStand_insitu_1243_REP1",361696,1718543.045
"28","MCR_69_VonDamm2020_MustardStand_insitu_1243_REP2",311692,1581378.831
"29","MCR_70_VonDamm2020_Ravelin2_insitu_1238_REP1",255603,43703668.373
"30","MCR_70_VonDamm2020_Ravelin2_insitu_1238_REP2",256592,45957586.413
"31","MCR_71_VonDamm2020_OldManTree_insitu_1238_REP1",195688,24772051.528
"32","MCR_71_VonDamm2020_OldManTree_insitu_1238_REP2",185097,25529518.573
"33","MCR_72_VonDamm2020_ShrimpHole_insitu_1244_REP1",605120,12373830.515
"34","MCR_72_VonDamm2020_ShrimpHole_insitu_1244_REP2",612506,12757201.615
"35","MCR_73_Piccard2020_Background_insitu_CTD005_REP1",894602,1616967.752
"36","MCR_73_Piccard2020_Background_insitu_CTD005_REP2",601734,1163503.801
"37","MCR_74_Piccard2020_Plume_insitu_CTD004_REP1",507692,34878228.58
"38","MCR_74_Piccard2020_Plume_insitu_CTD004_REP2",507040,36401461.634
"39","MCR_76_VonDamm2020_X18_insitu_1235_REP1",301060,26152921.548
"40","MCR_76_VonDamm2020_X18_insitu_1235_REP2",302951,27109364.345
"41","MCR_77_Piccard2020_Shrimpocalypse_insitu_1240_REP1",268246,25731626.559
"42","MCR_77_Piccard2020_Shrimpocalypse_insitu_1240_REP2",256583,26360418.382
"43","MCR_78_Piccard2020_Lotsoshrimp_insitu_1241_REP1",400927,19801193.765
"44","MCR_78_Piccard2020_Lotsoshrimp_insitu_1241_REP2",398357,20155651.075
"45","MCR_79_VonDamm2020_Bartizan_insitu_1244_REP1",193620,25248476.778
"46","MCR_79_VonDamm2020_Bartizan_insitu_1244_REP2",183607,25927229.606
"47","MCR_80_VonDamm2020_Ravelin2_insitu_1244_REP1",292813,23923763.277
"48","MCR_80_VonDamm2020_Ravelin2_insitu_1244_REP2",295774,24670158.331
